fold,video_id,true_label,hybrid_prob,anatomy_prob,predicted_prob,predicted_label,hybrid_weight,anatomy_weight
3,1.RG,1,0.9381927795375274,0.9999680512227438,0.9690804153801356,1,0.5,0.5
3,10.MB,0,0.8117568393831596,0.001248088048759598,0.4065024637159596,0,0.5,0.5
3,12.MB,0,0.1553511738386493,0.00019331341923294366,0.07777224362894113,0,0.5,0.5
3,15.LB,0,0.37056709076250605,0.00010598208106562573,0.18533653642178582,0,0.5,0.5
3,19.LG,1,0.654020703996848,2.1291746295595343e-05,0.3270209978715718,0,0.5,0.5
3,25.RB,0,0.06090692851971228,0.017762293872707977,0.03933461119621013,0,0.5,0.5
3,30.CB,0,0.9364049457629534,0.9846924982967892,0.9605487220298713,1,0.5,0.5
3,43.RG,1,0.7991226375159665,0.9999968504814732,0.8995597439987199,1,0.5,0.5
3,46.RG,1,0.9840107226984709,0.7742612442827602,0.8791359834906156,1,0.5,0.5
3,52.MG,1,0.8521929198677027,0.9986729321308842,0.9254329259992935,1,0.5,0.5
3,54.MG,1,0.9111158564654515,0.9534475707095664,0.932281713587509,1,0.5,0.5
3,7.LB,0,0.31152249921068165,0.004128933909642249,0.15782571656016195,0,0.5,0.5
