fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
2,20.MG,1,1,0.6464243986756265,0.6464243986756265,-1
2,14.RG,1,0,0.39609238175839917,0.39609238175839917,-1
2,21.RG,1,1,0.6925051069953845,0.6925051069953845,-1
2,23.RG,1,0,0.3657495823753382,0.3657495823753382,-1
2,3.LG,1,1,0.6425218879748692,0.6425218879748692,-1
2,47.MG,1,1,0.7882985680787906,0.7882985680787906,-1
2,16.RB,0,0,0.17860785399832554,0.17860785399832554,-1
2,27.RB,0,1,0.489456837815017,0.489456837815017,-1
2,34.MB,0,0,0.17044765925440158,0.17044765925440158,-1
2,8.MB,0,0,0.13409895252987428,0.13409895252987428,-1
2,36.LB,0,0,0.27949932927861826,0.27949932927861826,-1
2,31.RB,0,0,0.18384183854213906,0.18384183854213906,-1
