fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,14.RG,1,0,0.4933657944202423,0.4933657944202423,1
0,16.RB,0,1,0.5461581945419312,0.5461581945419312,1
0,17.RB,0,1,0.593646228313446,0.593646228313446,1
0,2.MG,1,0,0.43746036291122437,0.43746036291122437,1
0,5.MG,1,1,0.5127431154251099,0.5127431154251099,1
1,1.RG,1,1,0.7384013533592224,0.7384013533592224,1
1,12.MB,0,1,0.6756844520568848,0.6756844520568848,1
1,19.LG,1,1,0.898094892501831,0.898094892501831,1
1,24.RB,0,1,0.6528882384300232,0.6528882384300232,1
1,3.LG,1,1,0.8446018695831299,0.8446018695831299,1
2,13.MB,0,0,0.11298985779285431,0.11298985779285431,1
2,15.LB,0,0,0.20512568950653076,0.20512568950653076,1
2,18.RG,1,0,0.4894769489765167,0.4894769489765167,1
2,21.RG,1,0,0.4712338447570801,0.4712338447570801,1
2,8.MB,0,0,0.10424458235502243,0.10424458235502243,1
3,10.MB,0,0,0.13102449476718903,0.13102449476718903,1
3,20.MG,1,1,0.851228654384613,0.851228654384613,1
3,23.RG,1,0,0.430801659822464,0.430801659822464,1
3,4.RB,0,1,0.762275218963623,0.762275218963623,1
3,7.LB,0,0,0.2397913932800293,0.2397913932800293,1
