fold,video_id,true_label,hybrid_predicted_label,hybrid_predicted_prob,hybrid_correct,anatomy_predicted_label,anatomy_predicted_prob,anatomy_correct,ensemble_predicted_label,ensemble_predicted_prob,ensemble_correct
0,17.RB,0,0,0.23217219884117055,1,1,1.0,0,1,0.6160860994205852,0
0,26.RB,0,0,0.09252278851607956,1,0,9.042015402818473e-05,1,0,0.046306604335053875,1
0,28.CB,0,0,0.05632215147800589,1,0,2.1086815731566094e-06,1,0,0.028162130079789526,1
0,33.RB,0,0,0.21256681149768344,1,0,3.554275642629127e-05,1,0,0.10630117712705486,1
0,38.CB,0,0,0.31929728517801753,1,0,0.00024847215476714486,1,0,0.15977287866639234,1
0,4.RB,0,1,0.5325519293167763,0,1,0.9906634650211068,0,1,0.7616076971689416,0
0,40.RG,1,1,0.5,1,1,0.9988815429762924,1,1,0.7494407714881461,1
0,44.RG,1,1,0.6199635996233331,1,1,0.827211334286085,1,1,0.7235874669547091,1
0,45.MG,1,1,0.833227048323813,1,1,0.9994596659557862,1,1,0.9163433571397996,1
0,48.RG,1,1,0.7530802726893406,1,1,0.9999936762352641,1,1,0.8765369744623024,1
0,5.MG,1,1,0.6222876872186176,1,1,0.992039439532482,1,1,0.8071635633755498,1
0,50.RG,1,1,0.7457979350677667,1,1,0.9985314252638353,1,1,0.872164680165801,1
0,51.RG,1,1,0.6929292371880572,1,1,0.9999973628693408,1,1,0.846463300028699,1
1,11.MG,1,1,0.615166949786765,1,1,0.9775416532744479,1,1,0.7963543015306065,1
1,13.MB,0,1,0.5166062058016546,0,1,0.9850010126878594,0,1,0.750803609244757,0
1,18.RG,1,1,0.8060916124095112,1,1,0.9989872018011942,1,1,0.9025394071053527,1
1,2.MG,1,1,0.9453325641769825,1,0,0.23283396871892034,0,1,0.5890832664479514,1
1,29.CB,0,0,0.22723601609763897,1,0,0.000259550159367919,1,0,0.11374778312850345,1
1,32.RB,0,1,0.7689601716114522,0,0,0.0018646670877266224,1,0,0.3854124193495894,1
1,35.RB,0,0,0.1033571038888488,1,0,0.029540253287629544,1,0,0.06644867858823918,1
1,37.LB,0,0,0.16112110204307162,1,1,0.8636937623813232,0,1,0.5124074322121974,0
1,39.LB,0,0,0.05304108608288595,1,0,0.003803188738519503,1,0,0.028422137410702725,1
1,41.MG,1,1,0.8377549013168658,1,1,0.9999053146227417,1,1,0.9188301079698038,1
1,49.RG,1,1,0.7487872497987045,1,1,0.9990377633409482,1,1,0.8739125065698263,1
1,53.RB,0,0,0.1508529187310412,1,0,0.0012559501671030218,1,0,0.07605443444907212,1
1,6.RG,1,1,0.92978887491342,1,1,0.9999961360424101,1,1,0.964892505477915,1
2,14.RG,1,0,0.41486221051515815,0,1,0.947689108175472,1,1,0.6812756593453151,1
2,16.RB,0,0,0.2192264776135115,1,0,9.123349296398048e-08,1,0,0.10961328442350222,1
2,20.MG,1,1,0.6290223434536764,1,0,0.01583345846059364,0,0,0.322427900957135,0
2,21.RG,1,1,0.6667046348483597,1,1,0.9996511923077107,1,1,0.8331779135780353,1
2,23.RG,1,0,0.38856644422136255,0,0,2.709681918751939e-08,0,0,0.19428323565909086,0
2,27.RB,0,1,0.49399515426952706,0,0,0.00011233309762381426,1,0,0.24705374368357544,1
2,3.LG,1,1,0.622397766122045,1,1,0.6028611028182226,1,1,0.6126294344701337,1
2,31.RB,0,0,0.2243401934926599,1,0,7.700582403869245e-10,1,0,0.11217009713135907,1
2,34.MB,0,0,0.21119084408784947,1,0,0.00039437629684875607,1,0,0.10579261019234912,1
2,36.LB,0,0,0.31346479257142634,1,0,0.019065456991332667,1,0,0.1662651247813795,1
2,47.MG,1,1,0.7531692953576402,1,1,0.9197708704873414,1,1,0.8364700829224908,1
2,8.MB,0,0,0.17433054420571445,1,0,0.10433013358239866,1,0,0.13933033889405655,1
3,1.RG,1,1,0.9381927795375274,1,1,0.9999680512227438,1,1,0.9690804153801356,1
3,10.MB,0,1,0.8117568393831596,0,0,0.001248088048759598,1,0,0.4065024637159596,1
3,12.MB,0,0,0.1553511738386493,1,0,0.00019331341923294366,1,0,0.07777224362894113,1
3,15.LB,0,0,0.37056709076250605,1,0,0.00010598208106562573,1,0,0.18533653642178582,1
3,19.LG,1,1,0.654020703996848,1,0,2.1291746295595343e-05,0,0,0.3270209978715718,0
3,25.RB,0,0,0.06090692851971228,1,0,0.017762293872707977,1,0,0.03933461119621013,1
3,30.CB,0,1,0.9364049457629534,0,1,0.9846924982967892,0,1,0.9605487220298713,0
3,43.RG,1,1,0.7991226375159665,1,1,0.9999968504814732,1,1,0.8995597439987199,1
3,46.RG,1,1,0.9840107226984709,1,1,0.7742612442827602,1,1,0.8791359834906156,1
3,52.MG,1,1,0.8521929198677027,1,1,0.9986729321308842,1,1,0.9254329259992935,1
3,54.MG,1,1,0.9111158564654515,1,1,0.9534475707095664,1,1,0.932281713587509,1
3,7.LB,0,0,0.31152249921068165,1,0,0.004128933909642249,1,0,0.15782571656016195,1
