fold,video_id,true_label,hybrid_prob,anatomy_prob,predicted_prob,predicted_label,hybrid_weight,anatomy_weight
1,11.MG,1,0.5805087510539069,0.6265741659036927,0.6035414584787998,1,0.5,0.5
1,13.MB,0,0.5077927037238501,0.8379676040859085,0.6728801539048793,1,0.5,0.5
1,18.RG,1,0.7373781597840056,0.9753046666451938,0.8563414132145997,1,0.5,0.5
1,2.MG,1,0.8893440524012367,0.9342646859410494,0.911804369171143,1,0.5,0.5
1,29.CB,0,0.2849283235194139,0.0059053409326970075,0.14541683222605545,0,0.5,0.5
1,32.RB,0,0.7044547253140532,0.0028529881062510165,0.3536538567101521,0,0.5,0.5
1,35.RB,0,0.1665154321432509,1.066216395761848e-05,0.08326304715360426,0,0.5,0.5
1,37.LB,0,0.2254573712566447,9.750030977509696e-06,0.1127335606438111,0,0.5,0.5
1,39.LB,0,0.10217117528151912,0.01042732500570738,0.05629925014361325,0,0.5,0.5
1,41.MG,1,0.7670902717832885,0.9978457233333599,0.8824679975583242,1,0.5,0.5
1,49.RG,1,0.6872553821582745,0.9926254365055809,0.8399404093319277,1,0.5,0.5
1,53.RB,0,0.2155726121127818,0.0003740179965148332,0.10797331505464831,0,0.5,0.5
1,6.RG,1,0.8683875683054363,0.9792792084485601,0.9238333883769982,1,0.5,0.5
