fold,video_id,true_label,hybrid_prob,anatomy_prob,predicted_prob,predicted_label,hybrid_weight,anatomy_weight
0,17.RB,0,0.21517014329460482,0.5133505533884068,0.36426034834150584,0,0.5,0.5
0,26.RB,0,0.07681033187493938,0.5113002119544551,0.2940552719146972,0,0.5,0.5
0,28.CB,0,0.043695983720966815,0.519908288038741,0.2818021358798539,0,0.5,0.5
0,33.RB,0,0.19490241991252055,0.5092494902160728,0.3520759550642967,0,0.5,0.5
0,38.CB,0,0.307376473925327,0.42421919758338456,0.36579783575435576,0,0.5,0.5
0,4.RB,0,0.540165067148072,0.4476221360398933,0.49389360159398266,0,0.5,0.5
0,40.RG,1,0.508228977272819,0.5628055213574101,0.5355172493151146,1,0.5,0.5
0,44.RG,1,0.6361664588308265,0.6118225365330614,0.6239944976819439,1,0.5,0.5
0,45.MG,1,0.8560445898080745,0.6181697853822957,0.7371071875951851,1,0.5,0.5
0,48.RG,1,0.7757614461435476,0.5903123442899478,0.6830368952167477,1,0.5,0.5
0,5.MG,1,0.6387330369889389,0.4667633103836182,0.5527481736862785,1,0.5,0.5
0,50.RG,1,0.7682720300352341,0.5946713644822759,0.681471697258755,1,0.5,0.5
0,51.RG,1,0.7131306576381028,0.6238352523582719,0.6684829549981873,1,0.5,0.5
1,11.MG,1,0.5805087510539069,0.6265741659036927,0.6035414584787998,1,0.5,0.5
1,13.MB,0,0.5077927037238501,0.8379676040859085,0.6728801539048793,1,0.5,0.5
1,18.RG,1,0.7373781597840056,0.9753046666451938,0.8563414132145997,1,0.5,0.5
1,2.MG,1,0.8893440524012367,0.9342646859410494,0.911804369171143,1,0.5,0.5
1,29.CB,0,0.2849283235194139,0.0059053409326970075,0.14541683222605545,0,0.5,0.5
1,32.RB,0,0.7044547253140532,0.0028529881062510165,0.3536538567101521,0,0.5,0.5
1,35.RB,0,0.1665154321432509,1.066216395761848e-05,0.08326304715360426,0,0.5,0.5
1,37.LB,0,0.2254573712566447,9.750030977509696e-06,0.1127335606438111,0,0.5,0.5
1,39.LB,0,0.10217117528151912,0.01042732500570738,0.05629925014361325,0,0.5,0.5
1,41.MG,1,0.7670902717832885,0.9978457233333599,0.8824679975583242,1,0.5,0.5
1,49.RG,1,0.6872553821582745,0.9926254365055809,0.8399404093319277,1,0.5,0.5
1,53.RB,0,0.2155726121127818,0.0003740179965148332,0.10797331505464831,0,0.5,0.5
1,6.RG,1,0.8683875683054363,0.9792792084485601,0.9238333883769982,1,0.5,0.5
2,14.RG,1,0.359710844790379,0.6589954325504879,0.5093531386704334,1,0.5,0.5
2,16.RB,0,0.12313093939713428,0.5332917128184066,0.32821132610777043,0,0.5,0.5
2,20.MG,1,0.6685067143815874,0.14945481140845868,0.40898076289502305,0,0.5,0.5
2,21.RG,1,0.7235957215808848,0.989466866343469,0.856531293962177,1,0.5,0.5
2,23.RG,1,0.32047142493425157,0.09437578166711971,0.20742360330068565,0,0.5,0.5
2,27.RB,0,0.47342373385688513,0.015217870118512708,0.24432080198769893,0,0.5,0.5
2,3.LG,1,0.6597154922515,0.0004089349089006442,0.33006221358020027,0,0.5,0.5
2,31.RB,0,0.12797721097620662,0.231264485062927,0.1796208480195668,0,0.5,0.5
2,34.MB,0,0.11567865968579617,0.015419008533210597,0.06554883410950338,0,0.5,0.5
2,36.LB,0,0.22466390321463775,0.19156973040520495,0.20811681680992133,0,0.5,0.5
2,47.MG,1,0.8309040681350153,0.8971857530127588,0.864044910573887,1,0.5,0.5
2,8.MB,0,0.08410514541403781,0.0014129269111273672,0.04275903616258259,0,0.5,0.5
3,1.RG,1,0.8602168431184927,0.4538134150313368,0.6570151290749148,1,0.5,0.5
3,10.MB,0,0.7185228127128862,0.521248183498274,0.6198854981055801,1,0.5,0.5
3,12.MB,0,0.2196393282919178,0.26984418696597445,0.24474175762894612,0,0.5,0.5
3,15.LB,0,0.3881254622658974,0.3693956910337716,0.37876057664983453,0,0.5,0.5
3,19.LG,1,0.5898219109551724,0.4400871877260179,0.5149545493405951,1,0.5,0.5
3,25.RB,0,0.1195855835107193,0.5442161706527608,0.3319008770817401,0,0.5,0.5
3,30.CB,0,0.857630952599317,0.5940369209942444,0.7258339367967808,1,0.5,0.5
3,43.RG,1,0.7069989063548452,0.6674626753213213,0.6872307908380832,1,0.5,0.5
3,46.RG,1,0.9425000978962453,0.6235898336279796,0.7830449657621125,1,0.5,0.5
3,52.MG,1,0.7576354868908992,0.6442435974565657,0.7009395421737324,1,0.5,0.5
3,54.MG,1,0.8237324394573078,0.6245478179009032,0.7241401286791055,1,0.5,0.5
3,7.LB,0,0.3480951299996858,0.4546232401024956,0.4013591850510907,0,0.5,0.5
