fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,2.MG,1,1,0.865164377060841,1.8588630914688111,5
0,24.RB,0,1,0.6275308958283065,0.5216388136148453,5
1,29.CB,0,1,0.565878562757896,0.2650551974773407,5
1,51.RG,1,1,0.5670940255490242,0.2700045645236969,5
2,28.CB,0,0,0.20359855922245462,-1.363953173160553,5
2,40.RG,1,1,0.5805437773161821,0.3250060468912125,5
3,1.RG,1,0,0.3876926813549083,-0.4570213437080383,5
3,26.RB,0,0,0.3889020534902576,-0.45192973017692567,5
4,25.RB,0,1,0.8839244075783056,2.030129909515381,5
4,50.RG,1,1,0.9370938369748569,2.701139283180237,5
