fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,2.MG,1,1,0.5608176123612929,0.2444809526205063,5
0,24.RB,0,1,0.5651275890626313,0.26199884712696075,5
0,29.CB,0,1,0.5744620780623657,0.30008001923561095,5
0,51.RG,1,1,0.5765160844384647,0.308487705886364,5
1,1.RG,1,1,0.6647873743028649,0.6847022175788879,5
1,28.CB,0,1,0.6391767388460494,0.57179274559021,5
1,40.RG,1,1,0.6551373652154222,0.6416987538337707,5
2,25.RB,0,1,0.5929055653623456,0.3759899526834488,5
2,26.RB,0,0,0.34502042814347555,-0.6410004198551178,5
2,50.RG,1,1,0.830002180763937,1.5856427192687987,5
