epoch,train_loss,epoch_seconds,train_loss_box_reg,train_loss_classifier,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_box_reg,val_loss_classifier,val_loss_mask,val_loss_objectness,val_loss_rpn_box_reg
0,1.4753080680966377,7.105100624728948,0.2599084014073014,0.4379568425938487,0.6104799406602979,0.14850753736391198,0.018455300865753088,1.172775670575599,0.19792439408145887,0.21227216757445908,0.6378461582741389,0.09790378284985006,0.026829169133634423
1,0.7395852990448475,8.074857749976218,0.22109202202409506,0.1554504265077412,0.3368404936045408,0.013672600223799236,0.012529749485111097,1.130767964059487,0.20953199340237916,0.25327437977830414,0.5380049464680875,0.10562971919049839,0.024326923338852186
2,0.5756193492561579,7.5798730831593275,0.1879988769069314,0.12208794290199876,0.24721786146983504,0.008608002739492804,0.009706664768600604,1.0405753947949659,0.20175730302677644,0.21952833744580857,0.49085861328057945,0.1068238210709751,0.02160732144814877
3,0.47809291165322065,7.988554749637842,0.1876600724644959,0.08395120804198086,0.1936767071019858,0.003365936758200405,0.009438992283321568,1.1052834879762183,0.193057108631668,0.20664107558938363,0.5701257959590293,0.1117704656562637,0.023689039900318676
4,0.4246970461681485,7.270637833047658,0.1708695557899773,0.0664313054876402,0.17247955221682787,0.004350322664322448,0.01056631216306414,1.1092552727398772,0.18140497226947142,0.2220323909908378,0.549421719663466,0.13224987228901833,0.0241463119693132
5,0.37374146888032556,8.129825165960938,0.1551157683134079,0.04807135940063745,0.15908060618676245,0.003961120647545613,0.007512609183322638,1.1650982863890629,0.1715627812979316,0.20737501727126073,0.6283047841861844,0.13511581287912122,0.022739890630039856
6,0.3659540759399533,7.307222209405154,0.15517025627195835,0.04555690981214866,0.15572802210226655,0.002662608229002217,0.006836279157141689,1.1311469563127805,0.1892968622802679,0.22562344535253942,0.5662702652431714,0.12654173356819834,0.023414647891210432
7,0.3374231946654618,7.273694499861449,0.1407666893210262,0.045618887117598206,0.14454586955253035,0.0019941535174439196,0.00449759006005479,1.0578823280520737,0.17455068693864936,0.21239804770448245,0.5256873434215473,0.12225205013298061,0.022994203999436042
8,0.2964515034109354,8.314367666840553,0.11075478000566363,0.041630851512309164,0.13800547714345157,0.0031139084094320424,0.0029464842009474523,1.1613644259050488,0.17250933666461302,0.25650188854585093,0.5541483100581294,0.15309688376593536,0.025108002531093614
9,0.28562813717871904,8.250283333007246,0.11755359079688787,0.033138554834295064,0.13024169835262,0.0014496430412691552,0.003244647610699758,1.1547358637520422,0.1741692112700548,0.2528403107038078,0.5732687486840101,0.1309339516823987,0.023523640100393095
