fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
3,1.RG,1,1,0.9947933144793926,5.252591514587403,5
3,10.MB,0,1,0.9905038699976632,4.647329425811767,5
3,12.MB,0,1,0.9924305601670614,4.876037979125977,5
3,15.LB,0,1,0.9932067925113552,4.9850156784057615,5
3,19.LG,1,1,0.9936498648639736,5.052908802032471,5
3,25.RB,0,1,0.8487019563693692,1.7244563817977905,5
3,30.CB,0,1,0.8819772150395708,2.0112885236740112,5
3,43.RG,1,1,0.9512986979406987,2.97212233543396,5
3,46.RG,1,1,0.9141153543811018,2.3649517059326173,5
3,52.MG,1,1,0.8239003871141816,1.542999815940857,5
3,54.MG,1,1,0.8615757643161398,1.8284398555755614,5
3,7.LB,0,1,0.9946315061683287,5.2218249320983885,5
