video_id,true_label,frame_id,frame_name,class_name,track_id,track_local_index,confidence,bbox_x,bbox_y,bbox_w,bbox_h,centroid_x,centroid_y,area,image_width,image_height,match_score
11.MG,1,280,00000280.jpg,vocal_cords,11_MG_vocal_cords_001,1,0.6615571975708008,466.4444274902344,1.4259529113769531,97.13204956054688,169.9903678894043,511.02935504606813,83.47428755088922,9334.0,1280,720,0.0
11.MG,1,281,00000281.jpg,vocal_cords,11_MG_vocal_cords_001,2,0.7586049437522888,468.76458740234375,0.5349826812744141,94.78765869140625,180.7717800140381,513.3044921875,85.96240234375,10240.0,1280,720,0.9150992117008185
11.MG,1,282,00000282.jpg,vocal_cords,11_MG_vocal_cords_001,3,0.8019557595252991,469.8655700683594,0.6133270263671875,93.55581665039062,183.28079223632812,514.1023184518107,88.31193715271125,10438.0,1280,720,0.9695111512956555
11.MG,1,283,00000283.jpg,vocal_cords,11_MG_vocal_cords_001,4,0.807756781578064,470.0494689941406,0.7880020141601562,93.96224975585938,186.87044525146484,514.7281059987295,89.74289862963971,11019.0,1280,720,0.9688875231252483
11.MG,1,284,00000284.jpg,vocal_cords,11_MG_vocal_cords_001,5,0.8271023035049438,469.755126953125,0.8663558959960938,94.9156494140625,186.6268539428711,515.1028591661503,89.99699035142073,11297.0,1280,720,0.988219262977713
11.MG,1,285,00000285.jpg,vocal_cords,11_MG_vocal_cords_001,6,0.8392369747161865,470.39263916015625,1.0302066802978516,93.6507568359375,190.3818416595459,514.7811741436662,93.27519554077138,11123.0,1280,720,0.9612374557680262
11.MG,1,286,00000286.jpg,vocal_cords,11_MG_vocal_cords_001,7,0.8420143723487854,472.20977783203125,2.2187423706054688,93.95196533203125,192.09476470947266,515.6680251316013,93.19128884360673,11778.0,1280,720,0.9383080563447477
11.MG,1,287,00000287.jpg,vocal_cords,11_MG_vocal_cords_001,8,0.8370866775512695,471.94158935546875,2.9889774322509766,95.6732177734375,192.83334922790527,517.0932238880978,95.06122790853506,11939.0,1280,720,0.9676927878777182
11.MG,1,288,00000288.jpg,vocal_cords,11_MG_vocal_cords_001,9,0.8628742694854736,472.23956298828125,2.1570396423339844,96.44989013671875,196.11513137817383,517.3561992678657,95.35970077988222,12566.0,1280,720,0.9689031579521208
11.MG,1,289,00000289.jpg,vocal_cords,11_MG_vocal_cords_001,10,0.8407711982727051,473.76727294921875,3.358154296875,93.8419189453125,200.20147705078125,517.1456061577935,97.3680243745991,12472.0,1280,720,0.9394892657808412
11.MG,1,290,00000290.jpg,vocal_cords,11_MG_vocal_cords_001,11,0.8549297451972961,473.14044189453125,3.6423492431640625,94.14080810546875,200.44419860839844,517.4037189761145,98.13452112347312,12853.0,1280,720,0.9848279771296681
11.MG,1,291,00000291.jpg,vocal_cords,11_MG_vocal_cords_001,12,0.869433581829071,474.69146728515625,3.0800724029541016,93.73797607421875,201.58629417419434,518.5251357641582,97.19255236617533,12890.0,1280,720,0.9646828519216972
11.MG,1,292,00000292.jpg,vocal_cords,11_MG_vocal_cords_001,13,0.8805122971534729,474.78558349609375,4.292106628417969,93.36468505859375,201.57962799072266,519.0181190681623,100.25249039140324,12749.0,1280,720,0.9799005356882119
11.MG,1,293,00000293.jpg,vocal_cords,11_MG_vocal_cords_001,14,0.8760054707527161,474.6423645019531,2.2503280639648438,93.94515991210938,206.48429107666016,519.2846956391203,99.03647827065976,13323.0,1280,720,0.9685129987208622
11.MG,1,294,00000294.jpg,vocal_cords,11_MG_vocal_cords_001,15,0.8833200931549072,474.6287536621094,2.402057647705078,94.10592651367188,211.11883163452148,520.0861191860465,100.90995639534884,13760.0,1280,720,0.9722835744549946
11.MG,1,295,00000295.jpg,vocal_cords,11_MG_vocal_cords_001,16,0.8767724633216858,474.42578125,2.278003692626953,93.33526611328125,211.94118881225586,520.1117384843982,100.65326894502229,13460.0,1280,720,0.9833745449442883
11.MG,1,296,00000296.jpg,vocal_cords,11_MG_vocal_cords_001,17,0.8621100187301636,473.3163757324219,1.2899017333984375,95.32522583007812,214.31068420410156,519.3608518086347,101.65592182030339,13712.0,1280,720,0.9667878803559051
11.MG,1,297,00000297.jpg,vocal_cords,11_MG_vocal_cords_001,18,0.8800144195556641,474.5741271972656,2.8076744079589844,94.32003784179688,208.0018196105957,520.1941871846999,101.02160981853775,13281.0,1280,720,0.9542041618796002
11.MG,1,298,00000298.jpg,vocal_cords,11_MG_vocal_cords_001,19,0.874897301197052,473.9376525878906,1.6963481903076172,94.41177368164062,210.16194343566895,519.1972972972973,100.75195195195195,13320.0,1280,720,0.9766034034301558
