fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,26.RB,0,0,0.07870321720838547,0.07870321720838547,1
0,32.RB,0,0,0.37656331062316895,0.37656331062316895,1
0,40.RG,1,1,0.6098393201828003,0.6098393201828003,1
0,46.RG,1,1,0.9564469456672668,0.9564469456672668,1
0,51.RG,1,1,0.7121973037719727,0.7121973037719727,1
1,29.CB,0,1,0.5770540237426758,0.5770540237426758,1
1,30.CB,0,1,0.8848223686218262,0.8848223686218262,1
1,47.MG,1,1,0.824570894241333,0.824570894241333,1
1,50.RG,1,1,0.9020237326622009,0.9020237326622009,1
1,52.MG,1,1,0.8982294797897339,0.8982294797897339,1
2,2.MG,1,0,0.24407550692558289,0.24407550692558289,1
2,25.RB,0,0,0.2143508791923523,0.2143508791923523,1
2,28.CB,0,0,0.25295600295066833,0.25295600295066833,1
2,33.RB,0,0,0.26516586542129517,0.26516586542129517,1
2,48.RG,1,0,0.2737787663936615,0.2737787663936615,1
3,1.RG,1,1,0.7470299601554871,0.7470299601554871,1
3,17.RB,0,0,0.04513907432556152,0.04513907432556152,1
3,24.RB,0,0,0.022052081301808357,0.022052081301808357,1
3,31.RB,0,0,0.1549631506204605,0.1549631506204605,1
3,45.MG,1,0,0.18569083511829376,0.18569083511829376,1
