fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
0,26.RB,0,1,0.9384351860502839,2.7241232872009276,5
0,32.RB,0,1,0.9672466902125948,3.3854495525360107,5
0,40.RG,1,1,0.9759519202382378,3.7033581733703613,5
0,46.RG,1,1,0.9774259986306996,3.768123722076416,5
0,51.RG,1,1,0.9669558661566735,3.376308797299862,5
1,29.CB,0,1,0.5871837140098202,0.35233507603406905,5
1,30.CB,0,1,0.7147672763470134,0.9186515808105469,5
1,47.MG,1,1,0.7072353570078239,0.8819944858551025,5
1,50.RG,1,1,0.7021801629991329,0.8577012836933136,5
1,52.MG,1,1,0.7128384166091589,0.9092097043991089,5
2,2.MG,1,1,0.8951757747530187,2.1447351932525636,5
2,25.RB,0,1,0.9260744886850092,2.527896690368652,5
2,28.CB,0,1,0.9340425802393723,2.6505126476287844,5
2,33.RB,0,1,0.9373575240765712,2.7056211948394777,5
2,48.RG,1,1,0.9335187006553894,2.6420403003692625,5
3,1.RG,1,1,0.9953674450251551,5.370003414154053,5
3,17.RB,0,1,0.9969697720171602,5.796082592010498,5
3,24.RB,0,1,0.8699570051574311,1.9005786657333374,5
3,31.RB,0,1,0.8498027493814364,1.7330548286437988,5
3,45.MG,1,1,0.9411082300469862,2.771356797218323,5
