fold,video_id,true_label,hybrid_predicted_label,hybrid_predicted_prob,hybrid_correct,anatomy_predicted_label,anatomy_predicted_prob,anatomy_correct,ensemble_predicted_label,ensemble_predicted_prob,ensemble_correct
0,17.RB,0,0,0.16324235151066957,1,0,0.0001357310454177937,1,0,0.08168904127804368,1
0,26.RB,0,0,0.04318117939735579,1,0,6.171248811917718e-06,1,0,0.02159367532308385,1
0,28.CB,0,0,0.019559326414744175,1,0,0.013011150371119627,1,0,0.016285238392931903,1
0,33.RB,0,0,0.1429797916438668,1,0,7.759354817490158e-05,1,0,0.07152869259602085,1
0,38.CB,0,0,0.26333905162288135,1,0,8.202205206613842e-08,1,0,0.1316695668224667,1
0,4.RB,0,1,0.5486987685041457,0,1,0.9488190247251107,0,1,0.7487588966146281,0
0,40.RG,1,1,0.5085662711944888,1,1,0.9975897040523816,1,1,0.7530779876234353,1
0,44.RG,1,1,0.6637921111391093,1,1,0.9983552941190703,1,1,0.8310737026290898,1
0,45.MG,1,1,0.9033601296211543,1,1,0.9943248734797997,1,1,0.948842501550477,1
0,48.RG,1,1,0.8254789757573793,1,1,0.9796535804311767,1,1,0.902566278094278,1
0,5.MG,1,1,0.6666476282880406,1,1,0.9641832172018805,1,1,0.8154154227449606,1
0,50.RG,1,1,0.8176244863359357,1,1,0.9999276596663776,1,1,0.9087760730011567,1
0,51.RG,1,1,0.7573081087998504,1,1,0.9873465547714113,1,1,0.8723273317856308,1
