fold,video_id,true_label,predicted_label,predicted_prob,model
2,20.MG,1,0,0.14945481140845868,anatomy_classifier
2,14.RG,1,1,0.6589954325504879,anatomy_classifier
2,21.RG,1,1,0.989466866343469,anatomy_classifier
2,23.RG,1,0,0.09437578166711971,anatomy_classifier
2,3.LG,1,0,0.0004089349089006442,anatomy_classifier
2,47.MG,1,1,0.8971857530127588,anatomy_classifier
2,16.RB,0,1,0.5332917128184066,anatomy_classifier
2,27.RB,0,0,0.015217870118512708,anatomy_classifier
2,34.MB,0,0,0.015419008533210597,anatomy_classifier
2,8.MB,0,0,0.0014129269111273672,anatomy_classifier
2,36.LB,0,0,0.19156973040520495,anatomy_classifier
2,31.RB,0,0,0.231264485062927,anatomy_classifier
