fold,video_id,true_label,predicted_label,predicted_prob,model
3,54.MG,1,1,0.6245478179009032,anatomy_classifier
3,19.LG,1,0,0.4400871877260179,anatomy_classifier
3,43.RG,1,1,0.6674626753213213,anatomy_classifier
3,46.RG,1,1,0.6235898336279796,anatomy_classifier
3,1.RG,1,0,0.4538134150313368,anatomy_classifier
3,52.MG,1,1,0.6442435974565657,anatomy_classifier
3,7.LB,0,0,0.4546232401024956,anatomy_classifier
3,15.LB,0,0,0.3693956910337716,anatomy_classifier
3,12.MB,0,0,0.26984418696597445,anatomy_classifier
3,10.MB,0,1,0.521248183498274,anatomy_classifier
3,25.RB,0,1,0.5442161706527608,anatomy_classifier
3,30.CB,0,1,0.5940369209942444,anatomy_classifier
