fold,video_id,true_label,hybrid_predicted_label,hybrid_predicted_prob,hybrid_correct,anatomy_predicted_label,anatomy_predicted_prob,anatomy_correct,ensemble_predicted_label,ensemble_predicted_prob,ensemble_correct,ensemble_fixes_hybrid,hybrid_wrong_anatomy_right,anatomy_wrong_hybrid_right
0,17.RB,0,0,0.21517014329460482,1,1,0.5133505533884068,0,0,0.36426034834150584,1,0,0,1
0,26.RB,0,0,0.07681033187493938,1,1,0.5113002119544551,0,0,0.2940552719146972,1,0,0,1
0,28.CB,0,0,0.043695983720966815,1,1,0.519908288038741,0,0,0.2818021358798539,1,0,0,1
0,33.RB,0,0,0.19490241991252055,1,1,0.5092494902160728,0,0,0.3520759550642967,1,0,0,1
0,4.RB,0,1,0.540165067148072,0,0,0.4476221360398933,1,0,0.49389360159398266,1,1,1,0
0,5.MG,1,1,0.6387330369889389,1,0,0.4667633103836182,0,1,0.5527481736862785,1,0,0,1
1,13.MB,0,1,0.5077927037238501,0,1,0.8379676040859085,0,1,0.6728801539048793,0,0,0,0
1,32.RB,0,1,0.7044547253140532,0,0,0.0028529881062510165,1,0,0.3536538567101521,1,1,1,0
2,14.RG,1,0,0.359710844790379,0,1,0.6589954325504879,1,1,0.5093531386704334,1,1,1,0
2,16.RB,0,0,0.12313093939713428,1,1,0.5332917128184066,0,0,0.32821132610777043,1,0,0,1
2,20.MG,1,1,0.6685067143815874,1,0,0.14945481140845868,0,0,0.40898076289502305,0,0,0,1
2,23.RG,1,0,0.32047142493425157,0,0,0.09437578166711971,0,0,0.20742360330068565,0,0,0,0
2,27.RB,0,1,0.47342373385688513,0,0,0.015217870118512708,1,0,0.24432080198769893,1,1,1,0
2,3.LG,1,1,0.6597154922515,1,0,0.0004089349089006442,0,0,0.33006221358020027,0,0,0,1
3,1.RG,1,1,0.8602168431184927,1,0,0.4538134150313368,0,1,0.6570151290749148,1,0,0,1
3,10.MB,0,1,0.7185228127128862,0,1,0.521248183498274,0,1,0.6198854981055801,0,0,0,0
3,19.LG,1,1,0.5898219109551724,1,0,0.4400871877260179,0,1,0.5149545493405951,1,0,0,1
3,25.RB,0,0,0.1195855835107193,1,1,0.5442161706527608,0,0,0.3319008770817401,1,0,0,1
3,30.CB,0,1,0.857630952599317,0,1,0.5940369209942444,0,1,0.7258339367967808,0,0,0,0
