fold,video_id,true_label,predicted_label,predicted_prob,model
0,45.MG,1,1,0.9994596659557862,anatomy_classifier
0,51.RG,1,1,0.9999973628693408,anatomy_classifier
0,50.RG,1,1,0.9985314252638353,anatomy_classifier
0,40.RG,1,1,0.9988815429762924,anatomy_classifier
0,44.RG,1,1,0.827211334286085,anatomy_classifier
0,5.MG,1,1,0.992039439532482,anatomy_classifier
0,48.RG,1,1,0.9999936762352641,anatomy_classifier
0,26.RB,0,0,9.042015402818473e-05,anatomy_classifier
0,17.RB,0,1,1.0,anatomy_classifier
0,33.RB,0,0,3.554275642629127e-05,anatomy_classifier
0,38.CB,0,0,0.00024847215476714486,anatomy_classifier
0,28.CB,0,0,2.1086815731566094e-06,anatomy_classifier
0,4.RB,0,1,0.9906634650211068,anatomy_classifier
1,41.MG,1,1,0.9999053146227417,anatomy_classifier
1,6.RG,1,1,0.9999961360424101,anatomy_classifier
1,11.MG,1,1,0.9775416532744479,anatomy_classifier
1,2.MG,1,0,0.23283396871892034,anatomy_classifier
1,18.RG,1,1,0.9989872018011942,anatomy_classifier
1,49.RG,1,1,0.9990377633409482,anatomy_classifier
1,32.RB,0,0,0.0018646670877266224,anatomy_classifier
1,53.RB,0,0,0.0012559501671030218,anatomy_classifier
1,29.CB,0,0,0.000259550159367919,anatomy_classifier
1,13.MB,0,1,0.9850010126878594,anatomy_classifier
1,37.LB,0,1,0.8636937623813232,anatomy_classifier
1,39.LB,0,0,0.003803188738519503,anatomy_classifier
1,35.RB,0,0,0.029540253287629544,anatomy_classifier
2,20.MG,1,0,0.01583345846059364,anatomy_classifier
2,14.RG,1,1,0.947689108175472,anatomy_classifier
2,21.RG,1,1,0.9996511923077107,anatomy_classifier
2,23.RG,1,0,2.709681918751939e-08,anatomy_classifier
2,3.LG,1,1,0.6028611028182226,anatomy_classifier
2,47.MG,1,1,0.9197708704873414,anatomy_classifier
2,16.RB,0,0,9.123349296398048e-08,anatomy_classifier
2,27.RB,0,0,0.00011233309762381426,anatomy_classifier
2,34.MB,0,0,0.00039437629684875607,anatomy_classifier
2,8.MB,0,0,0.10433013358239866,anatomy_classifier
2,36.LB,0,0,0.019065456991332667,anatomy_classifier
2,31.RB,0,0,7.700582403869245e-10,anatomy_classifier
3,54.MG,1,1,0.9534475707095664,anatomy_classifier
3,19.LG,1,0,2.1291746295595343e-05,anatomy_classifier
3,43.RG,1,1,0.9999968504814732,anatomy_classifier
3,46.RG,1,1,0.7742612442827602,anatomy_classifier
3,1.RG,1,1,0.9999680512227438,anatomy_classifier
3,52.MG,1,1,0.9986729321308842,anatomy_classifier
3,7.LB,0,0,0.004128933909642249,anatomy_classifier
3,15.LB,0,0,0.00010598208106562573,anatomy_classifier
3,12.MB,0,0,0.00019331341923294366,anatomy_classifier
3,10.MB,0,0,0.001248088048759598,anatomy_classifier
3,25.RB,0,0,0.017762293872707977,anatomy_classifier
3,30.CB,0,1,0.9846924982967892,anatomy_classifier
