fold,video_id,true_label,predicted_label,predicted_prob,logit_mean,n_clips
1,11.MG,1,1,0.7159549553236118,0.9244844198226929,5
1,18.RG,1,1,0.6970090293003476,0.8330953598022461,5
1,26.RB,0,0,0.06981324966470097,-2.5895615577697755,5
1,29.CB,0,0,0.4822078541218362,-0.07119864523410797,5
1,32.RB,0,0,0.3614115206721726,-0.5692429840564728,5
1,35.RB,0,0,0.3356180465030337,-0.6828834682703018,5
1,38.CB,0,0,0.4801431318022219,-0.07946926951408387,5
1,39.LB,0,0,0.17835695898621748,-1.5275191143155098,5
1,41.MG,1,1,0.6451196878636671,0.5976552784442901,5
1,48.RG,1,1,0.6874352169648423,0.7881558418273926,5
1,49.RG,1,1,0.7373605667990815,1.0322948932647704,5
1,53.RB,0,0,0.1915499880321896,-1.43997004032135,5
1,6.RG,1,1,0.6857564141175821,0.7803540468215943,5
