epoch,train_loss,epoch_seconds,train_loss_box_reg,train_loss_classifier,train_loss_mask,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_box_reg,val_loss_classifier,val_loss_mask,val_loss_objectness,val_loss_rpn_box_reg
0,4.633385706221408e+32,8493.97953212494,51380934219.745865,1.0011941289377234e+16,nan,754645201.459012,119881226.47374491,nan,0.13158449185749094,0.21326853069834983,nan,0.30696189059660983,0.019325000197008755
1,nan,8333.325258249883,0.12400725581355058,0.20097353970822024,nan,0.26265756451353733,0.023696945272492987,nan,0.12287333306001248,0.19970972105287588,nan,0.22518070514958638,0.019393198788748123
2,nan,8383.35632041702,0.12516539747942873,0.2003725740399693,nan,0.21706394131491785,0.023557597092395573,nan,0.13083409278344613,0.20741233186653027,nan,0.19958232436329126,0.019499648310347065
3,nan,8292.436847208068,0.1254139068819035,0.19986515483331113,nan,0.2005613663417547,0.02355454418175461,nan,0.1293428199513493,0.2042689587061222,nan,0.18855118128256157,0.019468463563848324
4,nan,8299.819687417243,0.12182175366006606,0.19606469875695753,nan,0.19248695499232027,0.023553112506126784,nan,0.1314923066036919,0.2064012698112772,nan,0.18251980325350395,0.01949984938423418
0,0.8280816451221907,130.37891191709787,0.20559083717567514,0.16758903151466734,0.39136411024092815,0.04691537147961326,0.016622296157762246,0.7716177644637915,0.1971519120180836,0.161672503920272,0.35998585633933544,0.04011454245706913,0.012692954081453186
1,0.600412826807726,136.42476712493226,0.17087750763559698,0.10492962311801253,0.2957004751934081,0.01671753271239759,0.012187689740854619,0.7530101706775335,0.19282888599599785,0.15990617671587432,0.33823891184650934,0.04795041294934121,0.014085782180840258
2,0.5324005492690469,137.40006124973297,0.15131319329347684,0.0878342768259752,0.27004315772530985,0.01252119512954326,0.010688724394726921,0.6886547879817394,0.17628884874284267,0.13866531795177323,0.3167901166643088,0.04341345323980651,0.01349704965328923
3,0.4825019204900378,137.61118487501517,0.13560758364093045,0.07549074289173546,0.25237838465238915,0.009451200440726469,0.00957401090841677,0.7459500195601811,0.18869174175107709,0.1591026247299921,0.32613199290174705,0.05683937897405345,0.015184282897979965
4,0.4425579096082927,138.5212020422332,0.1254200677887923,0.06599123753151115,0.23465194532863137,0.008235455777764468,0.00825920106343597,0.6791789728718308,0.1690057174374278,0.1439294331984666,0.3061552825742043,0.04694292696023275,0.013145616847535936
5,0.4206396947253723,143.66989154182374,0.11822783706240914,0.06063463825092581,0.22773392087950997,0.006533331751802043,0.0075099655373285674,0.7224202588057289,0.16851511567186278,0.1587195890964582,0.32298864073191696,0.060749502818977744,0.011447411014020102
6,0.3878230132213255,139.52781691681594,0.11022300195965763,0.05612250462611567,0.20857772957153467,0.005853610611276443,0.007046165116223171,0.7345075724073328,0.1668696065719884,0.16729106681304984,0.32988260306704503,0.05722961797381196,0.01323468347198706
7,0.36181387563749234,138.28549320902675,0.10287460585308521,0.04866100837188285,0.19991847112470743,0.004249635180583157,0.006110156845519372,0.7842678400472953,0.17390553364888406,0.16919528082675803,0.3511347421086751,0.07657965505103885,0.013452629916103503
8,0.3449470838341786,137.67581783328205,0.09748109982849486,0.04610918302145996,0.1904302925809103,0.004542968856457555,0.006383537569267994,0.7529772608899153,0.1795905849788911,0.16433205962843764,0.3377157472647153,0.05819395676847377,0.013144908163667424
9,0.325968123072771,139.17114491714165,0.08962755204577531,0.04240382970057326,0.18496055787011068,0.003570133040739165,0.005406050277335552,0.813463016341512,0.16836069432946926,0.18090049540982223,0.37576062898509777,0.07490000553661957,0.013541200057191487
