fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
2,20.MG,1,1,0.5953793736029429,0.5953793736029429,-1
2,14.RG,1,0,0.26264375469433726,0.26264375469433726,-1
2,21.RG,1,1,0.7099851277199206,0.7099851277199206,-1
2,23.RG,1,0,0.18001781964977717,0.18001781964977717,-1
2,3.LG,1,1,0.8552571010736256,0.8552571010736256,-1
2,47.MG,1,1,0.7013203356562936,0.7013203356562936,-1
2,16.RB,0,0,0.15355896608886158,0.15355896608886158,-1
2,27.RB,0,0,0.29934549936534216,0.29934549936534216,-1
2,34.MB,0,0,0.20161649191687653,0.20161649191687653,-1
2,8.MB,0,0,0.0804692458527263,0.0804692458527263,-1
2,36.LB,0,0,0.15153857516052488,0.15153857516052488,-1
2,31.RB,0,0,0.1155234147168373,0.1155234147168373,-1
