fold,video_id,true_label,predicted_label,predicted_prob,prob_mean,n_frames
0,45.MG,1,1,0.8646152170935749,0.8646152170935749,-1
0,51.RG,1,1,0.7564060748282567,0.7564060748282567,-1
0,50.RG,1,1,0.8372479402335835,0.8372479402335835,-1
0,40.RG,1,0,0.30606836160354595,0.30606836160354595,-1
0,44.RG,1,1,0.6465188148002954,0.6465188148002954,-1
0,5.MG,1,1,0.6405815518112917,0.6405815518112917,-1
0,48.RG,1,1,0.8033762445205064,0.8033762445205064,-1
0,26.RB,0,0,0.10453947838246389,0.10453947838246389,-1
0,17.RB,0,0,0.21717899284403763,0.21717899284403763,-1
0,33.RB,0,0,0.10928617020546065,0.10928617020546065,-1
0,38.CB,0,0,0.2303215694621555,0.2303215694621555,-1
0,28.CB,0,0,0.05943703631873174,0.05943703631873174,-1
0,4.RB,0,1,0.6438486805649011,0.6438486805649011,-1
1,41.MG,1,1,0.5625527089780183,0.5625527089780183,-1
1,6.RG,1,1,0.6971432750484433,0.6971432750484433,-1
1,11.MG,1,1,0.5441597953397126,0.5441597953397126,-1
1,2.MG,1,1,0.7295578539513622,0.7295578539513622,-1
1,18.RG,1,1,0.6266589474715385,0.6266589474715385,-1
1,49.RG,1,1,0.6576502281821218,0.6576502281821218,-1
1,32.RB,0,1,0.5967986356807683,0.5967986356807683,-1
1,53.RB,0,0,0.3988929926280066,0.3988929926280066,-1
1,29.CB,0,0,0.41349038632317225,0.41349038632317225,-1
1,13.MB,0,0,0.4330096132488694,0.4330096132488694,-1
1,37.LB,0,0,0.4018160801238194,0.4018160801238194,-1
1,39.LB,0,0,0.4038232929725858,0.4038232929725858,-1
1,35.RB,0,0,0.39927280317135355,0.39927280317135355,-1
2,20.MG,1,1,0.5953793736029429,0.5953793736029429,-1
2,14.RG,1,0,0.26264375469433726,0.26264375469433726,-1
2,21.RG,1,1,0.7099851277199206,0.7099851277199206,-1
2,23.RG,1,0,0.18001781964977717,0.18001781964977717,-1
2,3.LG,1,1,0.8552571010736256,0.8552571010736256,-1
2,47.MG,1,1,0.7013203356562936,0.7013203356562936,-1
2,16.RB,0,0,0.15355896608886158,0.15355896608886158,-1
2,27.RB,0,0,0.29934549936534216,0.29934549936534216,-1
2,34.MB,0,0,0.20161649191687653,0.20161649191687653,-1
2,8.MB,0,0,0.0804692458527263,0.0804692458527263,-1
2,36.LB,0,0,0.15153857516052488,0.15153857516052488,-1
2,31.RB,0,0,0.1155234147168373,0.1155234147168373,-1
3,54.MG,1,1,0.9376313561801505,0.9376313561801505,-1
3,19.LG,1,1,0.7864786607349147,0.7864786607349147,-1
3,43.RG,1,1,0.7779917818378732,0.7779917818378732,-1
3,46.RG,1,1,0.9695486929849856,0.9695486929849856,-1
3,1.RG,1,1,0.9298542112270869,0.9298542112270869,-1
3,52.MG,1,1,0.9049311775721663,0.9049311775721663,-1
3,7.LB,0,0,0.41934272191080246,0.41934272191080246,-1
3,15.LB,0,0,0.33857721119145723,0.33857721119145723,-1
3,12.MB,0,0,0.29587596222805274,0.29587596222805274,-1
3,10.MB,0,1,0.8555620677836874,0.8555620677836874,-1
3,25.RB,0,0,0.08126555500609968,0.08126555500609968,-1
3,30.CB,0,1,0.8922890353923635,0.8922890353923635,-1
